"sim_id" "eir" "access" "season" "seed" "model" "age" "nTreatments1" "nHost" "nPatent" "nUncomp" "nSevere" "expectedDirectDeaths" "expectedSevere" "expectedIndirectDeaths" "age_prev" "prevalence_2to10"
"e01a44z1s03m0000GP" 0.25 0.44 1 3 "0000GP" 12.5 1499 5622.08333333333 1445 2456 68 9.713531 59.99783 1.528594 0.0214185133031942 0.0125478744286258
"e01a44z1s03m0000GP" 0.25 0.44 1 3 "0000GP" 17.5 1581 5058.33333333333 1733 2742 47 6.937512 49.40478 1.198285 0.0285502471169687 0.0125478744286258
"e01a44z1s03m0000GP" 0.25 0.44 1 3 "0000GP" 60 8280 24517.1666666667 11832 15189 116 17.777329 119.44146 3.136562 0.0402167188976431 0.0125478744286258
"e01a44z1s03m0000GPSG" 0.25 0.44 1 3 "0000GPSG" 0.25 31 1346 76 77 4 0.2924614 2.992338 0.7168491 0.00470529965329371 0.0130988094924473
"e01a44z1s03m0000GPSG" 0.25 0.44 1 3 "0000GPSG" 0.75 57 764.416666666667 96 111 4 0.4334678 3.50548 0.648513 0.0104654965660089 0.0130988094924473
"e01a44z1s03m0000GPSG" 0.25 0.44 1 3 "0000GPSG" 1.5 127 1385.33333333333 128 198 11 0.8587533 6.899614 0.7169598 0.00769971126082772 0.0130988094924473
"e01a44z1s03m0000GPSG" 0.25 0.44 1 3 "0000GPSG" 3.5 488 3996.66666666667 495 756 39 2.2304521 35.45316 1.329427 0.0103211009174312 0.0130988094924473
"e01a44z1s03m0000GPSG" 0.25 0.44 1 3 "0000GPSG" 7.5 982 6222.25 1201 1558 44 3.5596524 60.22503 1.2471237 0.0160847496216535 0.0130988094924473
"e01a44z1s03m0000GPSG" 0.25 0.44 1 3 "0000GPSG" 12.5 1184 5648.5 1693 1972 58 7.807031 56.89047 0.8908061 0.0249771325720693 0.0130988094924473
"e01a44z1s03m0000GPSG" 0.25 0.44 1 3 "0000GPSG" 17.5 1246 5087.16666666667 2217 2204 55 8.195424 55.53847 0.7073809 0.0363168757985781 0.0130988094924473
"e01a44z1s03m0000GPSG" 0.25 0.44 1 3 "0000GPSG" 60 6326 24677.4166666667 14254 11859 145 21.95346 142.0181 1.805536 0.0481344279013538 0.0130988094924473
"e01a44z1s04m0000GA" 0.25 0.44 1 4 "0000GA" 0.25 10 1347.41666666667 59 32 1 0.126689 1.3684102 0.27122096 0.00364895788236749 0.0100417701004105
"e01a44z1s04m0000GA" 0.25 0.44 1 4 "0000GA" 0.75 25 767.166666666667 52 58 5 0.548894 2.1054562 0.3540654 0.0056484901151423 0.0100417701004105
"e01a44z1s04m0000GA" 0.25 0.44 1 4 "0000GA" 1.5 75 1390.33333333333 100 118 2 0.1953565 4.029541 0.4567774 0.00599376648285783 0.0100417701004105
"e01a44z1s04m0000GA" 0.25 0.44 1 4 "0000GA" 3.5 279 4014.91666666667 388 488 14 1.0852901 12.332129 0.8521998 0.00805330123082671 0.0100417701004105
"e01a44z1s04m0000GA" 0.25 0.44 1 4 "0000GA" 7.5 589 6254.33333333333 917 1023 26 2.6514947 20.13879 0.818605 0.0122181953845334 0.0100417701004105
"e01a44z1s04m0000GA" 0.25 0.44 1 4 "0000GA" 12.5 679 5692.5 1304 1280 19 3.347577 21.64628 0.6144678 0.0190894451764017 0.0100417701004105
"e01a44z1s04m0000GA" 0.25 0.44 1 4 "0000GA" 17.5 713 5131.5 1363 1328 15 2.699164 17.78791 0.4278644 0.0221345285653967 0.0100417701004105
"e01a44z1s04m0000GA" 0.25 0.44 1 4 "0000GA" 60 3863 24883.1666666667 9572 7579 62 11.934504 65.99985 1.2373774 0.0320564772704439 0.0100417701004105
"e01a44z1s04m0000GP" 0.25 0.44 1 4 "0000GP" 0.25 9 1347.33333333333 25 56 1 0.102917 2.3305559 0.57348682 0.00154626422563088 0.00621840955107523
"e01a44z1s04m0000GP" 0.25 0.44 1 4 "0000GP" 0.75 28 766.833333333333 39 59 3 0.2649311 1.9441253 0.4205144 0.00423820908498153 0.00621840955107523
"e01a44z1s04m0000GP" 0.25 0.44 1 4 "0000GP" 1.5 57 1391.75 63 122 3 0.2414703 3.30589 0.5155942 0.00377222920783187 0.00621840955107523
"e01a44z1s04m0000GP" 0.25 0.44 1 4 "0000GP" 3.5 286 4014.16666666667 250 474 12 0.553826 16.400155 1.0327468 0.00518995225243928 0.00621840955107523
"e01a44z1s04m0000GP" 0.25 0.44 1 4 "0000GP" 7.5 603 6253.08333333333 557 1051 30 2.6764696 35.60571 1.0813042 0.00742300465103882 0.00621840955107523
"e01a44z1s04m0000GP" 0.25 0.44 1 4 "0000GP" 12.5 800 5682.41666666667 675 1299 27 4.203373 38.18737 0.808564 0.00989895730983003 0.00621840955107523
"e01a44z1s04m0000GP" 0.25 0.44 1 4 "0000GP" 17.5 805 5122.41666666667 831 1416 40 6.051203 34.52282 0.6426009 0.0135190095820658 0.00621840955107523
"e01a44z1s04m0000GP" 0.25 0.44 1 4 "0000GP" 60 4393 24838.8333333333 5064 7602 101 16.317801 106.89402 1.667679 0.01698952580972 0.00621840955107523
"e01a44z1s04m0000GPSG" 0.25 0.44 1 4 "0000GPSG" 0.25 4 1347.83333333333 5 12 0 0 0.3449816 0.08339003 0.000309138122913318 0.00169959232079969
"e01a44z1s04m0000GPSG" 0.25 0.44 1 4 "0000GPSG" 0.75 5 769.083333333333 14 11 0 0 0.26784669 0.05038665 0.00151695741683823 0.00169959232079969
"e01a44z1s04m0000GPSG" 0.25 0.44 1 4 "0000GPSG" 1.5 21 1394.5 14 32 1 0.0767113 1.48645587 0.11754185 0.000836620054977889 0.00169959232079969
"e01a44z1s04m0000GPSG" 0.25 0.44 1 4 "0000GPSG" 3.5 56 4033.33333333333 67 98 4 0.113661 5.746132 0.17558928 0.00138429752066116 0.00169959232079969
"e01a44z1s04m0000GPSG" 0.25 0.44 1 4 "0000GPSG" 7.5 147 6291.33333333333 158 235 13 0.778908 11.293756 0.19004338 0.00209282610999258 0.00169959232079969
"e01a44z1s04m0000GPSG" 0.25 0.44 1 4 "0000GPSG" 12.5 161 5735.91666666667 156 276 9 1.469757 11.283634 0.12817457 0.00226642065348462 0.00169959232079969
"e01a44z1s04m0000GPSG" 0.25 0.44 1 4 "0000GPSG" 17.5 191 5174.41666666667 242 335 13 2.160769 11.39218 0.11516693 0.00389737973684634 0.00169959232079969
"e01a44z1s04m0000GPSG" 0.25 0.44 1 4 "0000GPSG" 60 1055 25115.5 1528 1779 42 6.473814 45.77117 0.3024742 0.00506991034752776 0.00169959232079969
"e01a44z1s05m0000GA" 0.25 0.44 1 5 "0000GA" 0.25 21 1346.5 61 51 2 0.253376 2.2299083 0.44347095 0.00377521970540909 0.00816957605992691
"e01a44z1s05m0000GA" 0.25 0.44 1 5 "0000GA" 0.75 26 767.166666666667 39 47 3 0.331761 1.9377746 0.3113811 0.00423636758635672 0.00816957605992691
"e01a44z1s05m0000GA" 0.25 0.44 1 5 "0000GA" 1.5 68 1390.83333333333 88 120 4 0.4021886 3.956161 0.4096803 0.00527261833433194 0.00816957605992691
"e01a44z1s05m0000GA" 0.25 0.44 1 5 "0000GA" 3.5 199 4022.08333333333 283 362 3 0.2648771 9.736653 0.6030918 0.00586346213612348 0.00816957605992691
"e01a44z1s05m0000GA" 0.25 0.44 1 5 "0000GA" 7.5 450 6266.66666666667 774 824 16 1.2661111 16.50667 0.6499856 0.0102925531914894 0.00816957605992691
"e01a44z1s05m0000GA" 0.25 0.44 1 5 "0000GA" 12.5 537 5703.66666666667 1001 1028 13 2.172976 16.08679 0.4734915 0.0146250949681491 0.00816957605992691
"e01a44z1s05m0000GA" 0.25 0.44 1 5 "0000GA" 17.5 578 5143.83333333333 1070 1098 20 3.606388 15.316794 0.3643682 0.0173346725852963 0.00816957605992691
"e01a44z1s05m0000GA" 0.25 0.44 1 5 "0000GA" 60 3112 24944.75 8318 6251 41 7.864962 53.33378 1.010529 0.0277880783197533 0.00816957605992691
"e01a44z1s05m0000GP" 0.25 0.44 1 5 "0000GP" 0.25 12 1346.91666666667 15 25 1 0.10154 0.970086 0.24091394 0.000928045536100971 0.00266340461654168
"e01a44z1s05m0000GP" 0.25 0.44 1 5 "0000GP" 0.75 13 768.083333333333 27 33 3 0.3476929 0.9980543 0.20581152 0.00292936964305088 0.00266340461654168
"e01a44z1s05m0000GP" 0.25 0.44 1 5 "0000GP" 1.5 28 1393.75 39 59 3 0.2392386 1.5233326 0.24023175 0.00233183856502242 0.00266340461654168
"e01a44z1s05m0000GP" 0.25 0.44 1 5 "0000GP" 3.5 100 4029.91666666667 103 201 9 0.5027534 7.276503 0.4513585 0.00212990343059203 0.00266340461654168
"e01a44z1s05m0000GP" 0.25 0.44 1 5 "0000GP" 7.5 296 6278.41666666667 232 461 23 1.7142891 18.412612 0.4888589 0.00307933263428943 0.00266340461654168
"e01a44z1s05m0000GP" 0.25 0.44 1 5 "0000GP" 12.5 410 5714.41666666667 372 667 27 3.454112 20.282325 0.4192797 0.00542487567993234 0.00266340461654168
"e01a44z1s05m0000GP" 0.25 0.44 1 5 "0000GP" 17.5 480 5151.16666666667 407 752 22 3.396052 22.65903 0.3352168 0.00658426893583978 0.00266340461654168
"e01a44z1s05m0000GP" 0.25 0.44 1 5 "0000GP" 60 2273 25014.5833333333 2363 3845 64 10.140337 62.08252 0.8381706 0.0078720746231365 0.00266340461654168
"e01a44z1s05m0000GPSG" 0.25 0.44 1 5 "0000GPSG" 0.25 26 1345.91666666667 62 72 5 0.512145 2.9356018 0.6985388 0.00383877159309021 0.0103373911630862
"e01a44z1s05m0000GPSG" 0.25 0.44 1 5 "0000GPSG" 0.75 50 766 72 85 1 0.0917121 2.437851 0.4568892 0.00783289817232376 0.0103373911630862
"e01a44z1s05m0000GPSG" 0.25 0.44 1 5 "0000GPSG" 1.5 94 1388 128 180 4 0.3830483 7.082172 0.6453397 0.00768491834774256 0.0103373911630862
"e01a44z1s05m0000GPSG" 0.25 0.44 1 5 "0000GPSG" 3.5 362 4007.83333333333 371 589 30 1.7341243 29.41845 1.0954972 0.00771405996590011 0.0103373911630862
"e01a44z1s05m0000GPSG" 0.25 0.44 1 5 "0000GPSG" 7.5 809 6236.33333333333 944 1309 42 3.5068573 49.55328 1.0251512 0.0126142498262868 0.0103373911630862
"e01a44z1s05m0000GPSG" 0.25 0.44 1 5 "0000GPSG" 12.5 987 5666.75 1288 1599 45 5.888282 52.31543 0.7393134 0.0189408979279716 0.0103373911630862
"e01a44z1s05m0000GPSG" 0.25 0.44 1 5 "0000GPSG" 17.5 1055 5102.41666666667 1635 1788 39 5.601443 46.31657 0.5636497 0.0267030328765781 0.0103373911630862
"e01a44z1s05m0000GPSG" 0.25 0.44 1 5 "0000GPSG" 60 5399 24754.6666666667 11287 9885 129 19.491566 135.17269 1.534624 0.0379962027361844 0.0103373911630862
"e01a44z1s06m0000GA" 0.25 0.44 1 6 "0000GA" 0.25 18 1346.66666666667 90 63 8 1.143943 2.9073066 0.5772507 0.00556930693069307 0.0150106652723946
"e01a44z1s06m0000GA" 0.25 0.44 1 6 "0000GA" 0.75 45 765.833333333333 106 101 1 0.107081 3.331909 0.5786293 0.0115342763873776 0.0150106652723946
"e01a44z1s06m0000GA" 0.25 0.44 1 6 "0000GA" 1.5 93 1388.75 149 182 2 0.202496 6.179451 0.7052945 0.00894089408940894 0.0150106652723946
"e01a44z1s06m0000GA" 0.25 0.44 1 6 "0000GA" 3.5 385 4006.58333333333 618 703 24 1.7213079 20.01153 1.3092071 0.0128538447139084 0.0150106652723946
"e01a44z1s06m0000GA" 0.25 0.44 1 6 "0000GA" 7.5 767 6240.91666666667 1329 1436 30 2.7286029 28.16296 1.1786218 0.0177457905489311 0.0150106652723946
"e01a44z1s06m0000GA" 0.25 0.44 1 6 "0000GA" 12.5 955 5668.66666666667 1757 1755 31 5.46204 26.64811 0.80755 0.0258291191344231 0.0150106652723946
"e01a44z1s06m0000GA" 0.25 0.44 1 6 "0000GA" 17.5 1016 5106.5 2138 1957 28 5.05428 22.38918 0.6308273 0.0348901726557655 0.0150106652723946
"e01a44z1s06m0000GA" 0.25 0.44 1 6 "0000GA" 60 5004 24789.6666666667 14490 10356 77 14.442268 72.58717 1.613652 0.0487098118839839 0.0150106652723946
"e01a44z1s06m0000GP" 0.25 0.44 1 6 "0000GP" 0.25 7 1347.41666666667 8 22 3 0.318773 0.8483091 0.2109832 0.000494773950151525 0.00299033595931064
"e01a44z1s06m0000GP" 0.25 0.44 1 6 "0000GP" 0.75 15 768.333333333333 13 27 2 0.1879585 0.6491598 0.14704994 0.00140997830802603 0.00299033595931064
"e01a44z1s06m0000GP" 0.25 0.44 1 6 "0000GP" 1.5 27 1393.83333333333 29 54 2 0.1616497 2.0012122 0.235879 0.00173382757383714 0.00299033595931064
"e01a44z1s06m0000GP" 0.25 0.44 1 6 "0000GP" 3.5 111 4028.83333333333 114 201 8 0.4493555 8.432055 0.4453646 0.00235800273031895 0.00299033595931064
"e01a44z1s06m0000GP" 0.25 0.44 1 6 "0000GP" 7.5 259 6281.58333333333 277 456 23 1.5968789 16.475996 0.4990702 0.00367476352830364 0.00299033595931064
"e01a44z1s06m0000GP" 0.25 0.44 1 6 "0000GP" 12.5 360 5719.41666666667 356 603 20 2.858305 17.317819 0.3701206 0.00518700916468754 0.00299033595931064
"e01a44z1s06m0000GP" 0.25 0.44 1 6 "0000GP" 17.5 403 5158.83333333333 324 651 16 2.361915 19.629362 0.2914603 0.00523374147901657 0.00299033595931064
"e01a44z1s06m0000GP" 0.25 0.44 1 6 "0000GP" 60 2007 25034.75 2112 3475 49 7.667201 52.57545 0.7642872 0.00703022798310349 0.00299033595931064
"e01a44z1s06m0000GPSG" 0.25 0.44 1 6 "0000GPSG" 0.25 29 1346.16666666667 80 74 3 0.302316 3.166834 0.762611 0.00495233378729726 0.00900875448643556
"e01a44z1s06m0000GPSG" 0.25 0.44 1 6 "0000GPSG" 0.75 32 766.583333333333 68 65 2 0.1757404 1.8326894 0.3647201 0.00739210783780846 0.00900875448643556
"e01a44z1s06m0000GPSG" 0.25 0.44 1 6 "0000GPSG" 1.5 83 1389.33333333333 100 144 5 0.4592525 5.216507 0.5119013 0.00599808061420345 0.00900875448643556
